email_text,label
Your order #56194 has shipped. Track it in your account dashboard.,0
Congratulations! You won a prize. Claim within 24 hours: http://bit.ly/3xYzAbC,1
Reminder: appointment confirmed for 2026-03-10 at 18:00. More info: https://www.microsoft.com,0
Invoice #78372 is overdue. Pay immediately to avoid penalty: http://paypaI.com-login-secure.info/auth Please act now.,1
Meeting reminder: quality at 18:00. Location: Office.,0
Congratulations! You won a prize. Claim within 24 hours: http://185.12.44.9/login,1
IT Support: reset required. Click to re-authenticate: http://dhl-track-package.support/confirm Please act now.,1
Receipt for your purchase at Apple ID. Total: $120.50. Thank you.,0
Bank notice: suspicious transaction. Please validate your identity: http://microsoft-support-alert.net/verify,1
Monthly statement is available in your secure portal.,0
Action required: tax refund pending. Submit details: http://185.12.44.9/login,1
Project update: please review the attached report and share feedback. More info: https://www.amazon.com,0
Bank notice: suspicious transaction. Please validate your identity: http://185.12.44.9/login This is your final notice.,1
Your mailbox storage is full. Upgrade to keep receiving emails: http://185.12.44.9/login,1
Congratulations! You won a prize. Claim within 24 hours: http://account-locked-reset.com/recover Please act now.,1
Action required: tax refund pending. Submit details: http://paypaI.com-login-secure.info/auth Please act now.,1
Action required: tax refund pending. Submit details: http://microsoft-support-alert.net/verify Please act now.,1
Payment failed. Update billing information: http://security-verify-login.com/update This is your final notice.,1
Invitation: join our webinar on quality at 16:15.,0
Bank notice: suspicious transaction. Please validate your identity: http://account-locked-reset.com/recover Please act now.,1
Receipt for your purchase at Amazon. Total: $49.00. Thank you.,0
Security alert! Unusual sign-in attempt detected. Confirm your password here: http://bit.ly/3xYzAbC This is your final notice.,1
Your order #74790 has shipped. Track it in your account dashboard. More info: https://www.dhl.com,0
Project update: please review the attached report and share feedback.,0
Action required: tax refund pending. Submit details: http://paypaI.com-login-secure.info/auth,1
Payment failed. Update billing information: http://paypaI.com-login-secure.info/auth,1
Your subscription to Netflix is active until 2026-03-05.,0
Meeting reminder: data visualization at 11:30. Location: Room A.,0
Security alert! Unusual sign-in attempt detected. Confirm your password here: http://security-verify-login.com/update,1
Welcome to DHL! Here are tips to get started.,0
Receipt for your purchase at Dropbox. Total: $120.50. Thank you.,0
We couldn't deliver your package. Update delivery address: http://bit.ly/3xYzAbC Please act now.,1
IT Support: reset required. Click to re-authenticate: http://185.12.44.9/login This is your final notice.,1
We couldn't deliver your package. Update delivery address: http://account-locked-reset.com/recover,1
Invitation: join our webinar on AI at 18:00.,0
We couldn't deliver your package. Update delivery address: http://paypaI.com-login-secure.info/auth,1
IT Support: reset required. Click to re-authenticate: http://security-verify-login.com/update,1
URGENT: Your Orange account will be suspended. Verify now: http://dhl-track-package.support/confirm This is your final notice.,1
Action required: tax refund pending. Submit details: http://security-verify-login.com/update,1
IT Support: reset required. Click to re-authenticate: http://bit.ly/3xYzAbC Please act now.,1
IT Support: reset required. Click to re-authenticate: http://185.12.44.9/login Verify within 1 hour.,1
Your mailbox storage is full. Upgrade to keep receiving emails: http://185.12.44.9/login,1
Your order #90940 has shipped. Track it in your account dashboard. More info: https://www.microsoft.com,0
Payment failed. Update billing information: http://paypaI.com-login-secure.info/auth Verify within 1 hour.,1
